Category,Year,Labels,Feature,Usage
151-250,2021_and_less,autonomy and independence boost,Core_Employee Reports,0
151-250,2021_and_less,culture and diversity,Core_Employee Reports,0
151-250,2021_and_less,digital automation - improve operational cost efficiency,Core_Employee Reports,0
151-250,2021_and_less,drive data based decisions - people analytics,Core_Employee Reports,0
151-250,2021_and_less,employee growth and leadership development,Core_Employee Reports,0
151-250,2021_and_less,employee privacy and confidentiality control,Core_Employee Reports,0
151-250,2021_and_less,employee satisfaction,Core_Employee Reports,0
151-250,2021_and_less,enhance employee communication & engagement,Core_Employee Reports,0
151-250,2021_and_less,enhance employee experience,Core_Employee Reports,0
151-250,2021_and_less,ensure data integrity - system of record - single source of truth,Core_Employee Reports,0
151-250,2021_and_less,improve employee wellbeing and employee safety,Core_Employee Reports,0
151-250,2021_and_less,"improve talent acquisition (quality of hiring, time to hire, etc)",Core_Employee Reports,0
151-250,2021_and_less,improve talent retention,Core_Employee Reports,0
151-250,2021_and_less,increase hr productivity & efficiency,Core_Employee Reports,0
151-250,2021_and_less,learning & development programs,Core_Employee Reports,0
151-250,2021_and_less,managing a global multinational business,Core_Employee Reports,0
151-250,2021_and_less,performance management & optimization,Core_Employee Reports,0
151-250,2021_and_less,reduce legal compliance risks (ciso),Core_Employee Reports,0
151-250,2021_and_less,smart & effective workforce planning,Core_Employee Reports,0
151-250,2021_and_less,smart compensation management,Core_Employee Reports,0
151-250,2021_and_less,support company growth and scale up,Core_Employee Reports,0
151-250,2021_and_less,user-friendly platform,Core_Employee Reports,0
151-250,2022,autonomy and independence boost,Core_Employee Reports,0
151-250,2022,culture and diversity,Core_Employee Reports,0
151-250,2022,digital automation - improve operational cost efficiency,Core_Employee Reports,0
151-250,2022,drive data based decisions - people analytics,Core_Employee Reports,0
151-250,2022,employee growth and leadership development,Core_Employee Reports,0
151-250,2022,employee privacy and confidentiality control,Core_Employee Reports,0
151-250,2022,employee satisfaction,Core_Employee Reports,0
151-250,2022,enhance employee communication & engagement,Core_Employee Reports,0
151-250,2022,enhance employee experience,Core_Employee Reports,0
151-250,2022,ensure data integrity - system of record - single source of truth,Core_Employee Reports,0
151-250,2022,improve employee wellbeing and employee safety,Core_Employee Reports,0
151-250,2022,"improve talent acquisition (quality of hiring, time to hire, etc)",Core_Employee Reports,0
151-250,2022,improve talent retention,Core_Employee Reports,0
151-250,2022,increase hr productivity & efficiency,Core_Employee Reports,1
